Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NTN - BEARING,30208,code128,NTN,BEARING,PC,PC,PC,3060,4590,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - BEARING,30210,code128,NTN,BEARING,PC,PC,PC,5200,7800,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6001LLU*,code128,NTN,BEARING,PC,PC,PC,375,560,20,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6003CM*,code128,NTN,BEARING,PC,PC,PC,485,730,20,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6004-2RS,code128,NIS,BEARING,PC,PC,PC,250,375,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6004CM*,code128,NTN,BEARING,PC,PC,PC,670,1005,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6201-2RS,code128,NIS,BEARING,PC,PC,PC,185,280,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6201-2RS,code128,NIS,BEARING,PC,PC,PC,180,270,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6203CM*,code128,NTN,BEARING,PC,PC,PC,600,900,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6205LLU,code128,NTN,BEARING,PC,PC,PC,1364.25,2045,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6206CM,code128,NTN,BEARING,PC,PC,PC,1692.35,2540,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,63/22CM*,code128,NTN,BEARING,PC,PC,PC,1150,1725,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,63/22ZZ,code128,NTN,BEARING,PC,PC,PC,2160,3240,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6301-2RS,code128,NIS,BEARING,PC,PC,PC,190,285,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301LLU*,code128,NTN,BEARING,PC,PC,PC,625,935,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6304CM,code128,NTN,BEARING,PC,PC,PC,1300,1950,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6312ZZ,code128,NTN,BEARING,PC,PC,PC,10195.75,15295,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6902CM*,code128,NTN,BEARING,PC,PC,PC,375,560,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - BEARING,807045/12,code128,NTN,BEARING,PC,PC,PC,11800,17700,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
MITSUBOSHI - V BELT,A 066,code128,MITSUBOSHI,BELTS,PC,PC,PC,981.5,1475,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
MITSUBOSHI - V BELT,B 110,code128,MITSUBOSHI,BELTS,PC,PC,PC,2696.852925,4045,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
TSUBAKI - BEARING,BB25-2K,code128,TSUBAKI,BEARING,PC,PC,PC,12250,18375,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
FYH - PILLOW BLOCK BEARING,ER204,code128,FYH,BEARING,PC,PC,PC,1100,1650,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - NEEDLE ROLLER BEARING,HK10/15D,code128,NTN,BEARING,PC,PC,PC,875,1310,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
MITSUBOSHI - V BELT,M 080,code128,MITSUBOSHI,BELTS,PC,PC,PC,2286.674,3040,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - PILLOW BLOCK BEARING,UCF205,code128,NTN,BEARING,PC,PC,PC,3990,5985,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
FBJ - PILLOW BLOCK BEARING,UCF206,code128,FBJ,BEARING,PC,PC,PC,3370,5055,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - PILLOW BLOCK BEARING,UCF211-200*,code128,NTN,BEARING,PC,PC,PC,11500,17250,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6205LLU*,code128,NTN,BEARING,PC,PC,PC,725,1085,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6304LLU,code128,NTN,BEARING,PC,PC,PC,890,1335,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6902LLU,code128,NTN,BEARING,PC,PC,PC,375,560,6,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
SKF - BEARING,63005-2RS,code128,SKF,BEARING,PC,PC,PC,550,825,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
INA - NEEDLE ROLLER BEARING,HK16/16D,code128,INA,BEARING,PC,PC,PC,675,1010,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6026CM,code128,NTN,BEARING,PC,PC,PC,22800,34200,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - BEARING,2206S,code128,NTN,BEARING,PC,PC,PC,2300,3450,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NBWZ - DEEP GROVE BALL BEARING,6004-2RS,code128,NBWZ,BEARING,PC,PC,PC,345,515,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NBWZ - DEEP GROVE BALL BEARING,6201-2RS,code128,NBWZ,BEARING,PC,PC,PC,260,390,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6004ZZ,code128,NTN,BEARING,PC,PC,PC,720,1080,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - BEARING,32015,code128,NTN,BEARING,PC,PC,PC,5275,7310,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6015ZZ/C3,code128,NTN,BEARING,PC,PC,PC,7485,11225,2,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6308LLU,code128,NTN,BEARING,PC,PC,PC,3790,5685,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
