Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,
AKG - 22206EMC3 - SR BEARING,0001,code128,AKG,001,-,-,-,10890,16750,0,No Tax,Exclusive,no_image.png,001-03,,,,,,,,
ASHAI UK 206 - Y BEARING,0002,code128,NONE,001,-,-,-,1750,3500,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,,
BB25/2K - BEARING,0003,code128,TSUBAKI,001,-,-,-,12250,18375,0,No Tax,Exclusive,no_image.png,,,,,,,,,
ER 204 - P B BEARING,0004,code128,NONE,001,-,-,-,1100,1650,0,No Tax,Exclusive,no_image.png,,,,,,,,,
FBJ H 2306 - SLEEVE,0005,code128,FBJ,001,-,-,-,750,1500,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,,
HCI 6005/2RS - DGB BEARING,0006,code128,NONE,001,-,-,-,360,455,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
INA HK15/16D - NR BEARING,0007,code128,INA,001,-,-,-,400,1240,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
INA HK16/16D- NEEDLE ROLLER BEARING,0008,code128,INA,001,-,-,-,220,1260,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
KOYO 2206 - SAB BEARING,0009,code128,KOYO,001,-,-,-,4200,6090,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,,
KOYO 83A915/C4 - BEARING,0010,code128,KOYO,001,-,-,-,1750,2450,0,No Tax,Exclusive,no_image.png,,,,,,,,,
KOYO HK08/08 - N R BEARING,0011,code128,KOYO,001,-,-,-,1200,1750,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
KSM 6004ZZ - DEEP GROVE BALL BEARING,0012,code128,KSM,001,-,-,-,540,1020,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
KSM 6207ZZ - D G B BEARING,0013,code128,KSM,001,-,-,-,1545,2225,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
KSM 6902ZZ - D G B BEARING,0014,code128,KSM,001,-,-,-,450,1090,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NAG 4907  - D G B BEARING,0015,code128,NONE,001,-,-,-,5450,12325,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NBWZ 6005/2RS - DGB BEARING,0016,code128,NBWZ,001,-,-,-,590,840,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NBWZ 6204/2RS - D G B BEARING,0017,code128,NBWZ,001,-,-,-,575,820,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NBWZ 6300/2RS - D G B BEARING,0018,code128,NBWZ,001,-,-,-,525,750,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NBWZ 6301/2RS - D G B BEARING,0019,code128,NBWZ,001,-,-,-,500,715,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NIS 6004/2RS - DGB BEARING,0020,code128,NIS,001,-,-,-,345,495,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NIS HK08/08 - N R BEARING,0021,code128,NIS,001,-,-,-,750,1180,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NIS-UC206-Y BEARING,0022,code128,NIS,001,-,-,-,1400,2100,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NSK 4206/C3 - DGB BEARING,0023,code128,NSK,001,-,-,-,3150,4565,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NSK 98205 - D G B BEARING,0024,code128,NSK,001,-,-,-,1000,1450,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NSK NJ2206W/C3 - BEARING,0025,code128,NSK,001,-,-,-,4550,6600,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NTN UCF211-200 - PILLOW BLOCK BEARING,0026,code128,NTN,001,-,-,-,11500,17250,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NTN 1208SK - SAB BEARING,0027,code128,NTN,001,-,-,-,3500,6250,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,,
NTN 16002 - D G B BEARING,0028,code128,NTN,001,-,-,-,510,875,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 16003 - D G B BEARING,0029,code128,NTN,001,-,-,-,550,775,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 16007 - DGB BEARING,0030,code128,NTN,001,-,-,-,1450,2530,20,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 2206S  - SAB BEARING,0031,code128,NTN,001,-,-,-,2300,3450,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,,
NTN 2210S/C3 - SAB BEARING,0032,code128,NTN,001,-,-,-,7000,10150,0,No Tax,Exclusive,no_image.png,001-05,,,,,,,,
NTN 30208 - TR BEARING,0033,code128,NTN,001,-,-,-,3060,4780,0,No Tax,Exclusive,no_image.png,001-06,,,,,,,,
NTN 30210 - TR BEARING,0034,code128,NTN,001,-,-,-,5200,6775,0,No Tax,Exclusive,no_image.png,001-06,,,,,,,,
NTN 32015 - TR BEARING,0035,code128,NTN,001,-,-,-,5275,7310,0,No Tax,Exclusive,no_image.png,001-06,,,,,,,,
NTN 51200 - D G B BEARING,0036,code128,NTN,001,-,-,-,1440,1700,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 60/22LLU - BALL BEARING,0037,code128,NTN,001,-,-,-,1828,2538,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6000LLU - DGB BEARING,0038,code128,NTN,001,-,-,-,616,970,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6000ZZ - D G B BEARING,0039,code128,NTN,001,-,-,-,532,915,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6000CM - D G B BEARING,0040,code128,NTN,001,-,-,-,515,890,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6001CM - DGB BEARING,0041,code128,NTN,001,-,-,-,550,870,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6001LLU - DGB BEARING,0042,code128,NTN,001,-,-,-,570,900,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6001ZZ - DGB BEARING,0043,code128,NTN,001,-,-,-,585,880,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6001ZZ/C3 - DGB BEARING,0044,code128,NTN,001,-,-,-,580,880,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6002CM - D G B  BEARING,0045,code128,NTN,001,-,-,-,600,915,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6002LLU - DGB BEARING,0046,code128,NTN,001,-,-,-,740,1030,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6002ZZ - DGB BEARING,0047,code128,NTN,001,-,-,-,650,995,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6003CM - DGB BEARING,0048,code128,NTN,001,-,-,-,582,1055,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6003LLU - DGB BEARING,0049,code128,NTN,001,-,-,-,720,1090,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6003ZZ - DGB BEARING,0050,code128,NTN,001,-,-,-,700,1000,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6003ZZ/C3 - DGB BEARING,0051,code128,NTN,001,-,-,-,740,1000,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6004CM - DGB BEARING,0052,code128,NTN,001,-,-,-,570,1075,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6004LLU - DGB BEARING,0053,code128,NTN,001,-,-,-,850,1195,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6004ZZ - DGB BEARING,0054,code128,NTN,001,-,-,-,670,1080,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6005LLU - DGB BEARING,0055,code128,NTN,001,-,-,-,1000,1690,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6005LLU/C3 - DGB BEARING,0056,code128,NTN,001,-,-,-,550,1690,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6005ZZ - DGB BEARING,0057,code128,NTN,001,-,-,-,950,1525,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6005CM - D G B BEARING,0058,code128,NTN,001,-,-,-,900,1450,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6006ZZ - D G B BEARING,0059,code128,NTN,001,-,-,-,1134,1650,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6006LLU - D G B BEARING,0060,code128,NTN,001,-,-,-,1250,1750,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6006CM - D G B BEARING,0061,code128,NTN,001,-,-,-,1200,1600,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6007CM - D G B BEARING,0062,code128,NTN,001,-,-,-,980,1780,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6007LLU - DGB BEARING,0063,code128,NTN,001,-,-,-,970,1920,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6007ZZ - DGB BEARING,0064,code128,NTN,001,-,-,-,1400,2040,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6007ZZ/C3 - DGB BEARING,0065,code128,NTN,001,-,-,-,1350,2040,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6015ZZ/C3 - DGB BEARING,0066,code128,NTN,001,-,-,-,7350,11225,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6026CM - D G B BEARING,0067,code128,NTN,001,-,-,-,22800,34200,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 606ZZ - D G B BEARING,0068,code128,NTN,001,-,-,-,570,945,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 607LLU - D G B  BEARING,0069,code128,NTN,001,-,-,-,620,890,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 607ZZ - F G B BEARING,0070,code128,NTN,001,-,-,-,600,780,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 608LLU - M B BEARING,0071,code128,NTN,001,-,-,-,540,855,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 608ZZ - M B BEARING,0072,code128,NTN,001,-,-,-,480,810,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6200LLB - D G B BEARING,0073,code128,NTN,001,-,-,-,625,870,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6200LLU - D G B BEARING,0074,code128,NTN,001,-,-,-,580,840,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6200LLU/C3 - DGB BEARING,0075,code128,NTN,001,-,-,-,585,840,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6200ZZ - D G B BEARING,0076,code128,NTN,001,-,-,-,550,815,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6200CM - D G B BEARING,0077,code128,NTN,001,-,-,-,525,800,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6200ZZ/C3 - DGB BEARING,0078,code128,NTN,001,-,-,-,575,815,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6201CM - D G B BEARING,0079,code128,NTN,001,-,-,-,480,825,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6201LLU - D G B BEARING,0080,code128,NTN,001,-,-,-,635,920,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6201ZZ - D G B BEARING,0081,code128,NTN,001,-,-,-,565,840,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6201ZZ-1/2- D G B BEARING,0082,code128,NTN,001,-,-,-,510,1050,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6202CM - D G B BEARING,0083,code128,NTN,001,-,-,-,550,750,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6202LLU - DGB BEARING,0084,code128,NTN,001,-,-,-,710,960,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6202ZZ - D G B BEARING,0085,code128,NTN,001,-,-,-,630,870,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6203-42/C3 - D G B BEARING,0086,code128,NTN,001,-,-,-,1507.2,2020,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6203CM - D G B BEARING,0087,code128,NTN,001,-,-,-,650,885,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6203LLU - D G B BEARING,0088,code128,NTN,001,-,-,-,700,1120,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6203ZZ - D G B BEARING,0089,code128,NTN,001,-,-,-,660,1090,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6203ZZ/C3 - D G B BEARING,0090,code128,NTN,001,-,-,-,620,1090,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6204CM - DEEP GROVE BALL BEARING,0091,code128,NTN,001,-,-,-,650,980,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6204LLU - DEEP GROVE BALL BEARING,0092,code128,NTN,001,-,-,-,891,1510,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6204ZZ - D G B BEARING,0093,code128,NTN,001,-,-,-,790,1440,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6205CM - DEEP GROVE BALL BEARING,0094,code128,NTN,001,-,-,-,750,1410,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6205LLU - D G B BEARING,0095,code128,NTN,001,-,-,-,990,1540,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
