Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,
NTN 6205ZZ- DEEP GROVE BALL BEARING,0096,code128,NTN,001,-,-,-,850,1435,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6206CM - DEEP GROVE BALL BEARING,0097,code128,NTN,001,-,-,-,1692.35,1610,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6206LLU - D G B BEARING,0098,code128,NTN,001,-,-,-,1360,2005,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6206ZZ - D G B BEARING,0099,code128,NTN,001,-,-,-,1225,1675,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6207LLU - D G B BEARING,0100,code128,NTN,001,-,-,-,1950,2640,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6207CM - D G B BEARING,0101,code128,NTN,001,-,-,-,1600,2090,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6207ZZ - D G B BEARING,0102,code128,NTN,001,-,-,-,1650,2225,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6208LLU - D G B BEARING,0103,code128,NTN,001,-,-,-,2730,2800,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6208ZZ - D G B BEARING,0104,code128,NTN,001,-,-,-,2296.8,2900,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6208ZZ/C3 - DGB BEARING,0105,code128,NTN,001,-,-,-,2075,2900,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6211LLU - DGB BEARING,0106,code128,NTN,001,-,-,-,4665,7500,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6212ZZC3 - D G  B BEARING,0107,code128,NTN,001,-,-,-,4250,6275,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 627ZZ - M BEARING,0108,code128,NTN,001,-,-,-,640,990,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 628LLU - D G B BEARING,0109,code128,NTN,001,-,-,-,600,1050,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 628ZZ - D G B BEARING,0110,code128,NTN,001,-,-,-,640,960,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 63/22CM - D G B BEARING,0111,code128,NTN,001,-,-,-,1638,2440,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 63/22ZZ- D G B BEARING,0112,code128,NTN,001,-,-,-,2160,3240,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 63/28CM - D G B BEARING,0113,code128,NTN,001,-,-,-,2000,3470,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 63/28LLU - D G B BEARING,0114,code128,NTN,001,-,-,-,3550,5370,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6300LLU - D G B BEARING,0115,code128,NTN,001,-,-,-,780,1150,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6300ZZ - D G B BEARING,0116,code128,NTN,001,-,-,-,750,1120,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6301CM - D G B BEARING,0117,code128,NTN,001,-,-,-,710,975,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6301LLU - D G B BEARING,0118,code128,NTN,001,-,-,-,714,1125,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6301ZZ - D G B BEARING,0119,code128,NTN,001,-,-,-,800,1195,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6302CM - D G B BEARING,0120,code128,NTN,001,-,-,-,620,970,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6302LLU - D G B BEARING,0121,code128,NTN,001,-,-,-,720,1160,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6302ZZ - D G B BEARING,0122,code128,NTN,001,-,-,-,820,1125,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6303LLU - D G B BEARING,0123,code128,NTN,001,-,-,-,980,1435,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6303CM - D G B BEARING,0124,code128,NTN,001,-,-,-,790,1150,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6303ZZ  - D G B BEARING,0125,code128,NTN,001,-,-,-,790,1185,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6304CM - D G B BEARING,0126,code128,NTN,001,-,-,-,900.8,1665,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6304CM/C3 - DGB BEARING,0127,code128,NTN,001,-,-,-,900,1665,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6304LLU - D G B BEARING,0128,code128,NTN,001,-,-,-,890,1780,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6304ZZ - D G B BEARING,0129,code128,NTN,001,-,-,-,950,1510,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6305CM - DGB BEARING,0130,code128,NTN,001,-,-,-,1050,1725,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6305LLU - D G B BEARING,0131,code128,NTN,001,-,-,-,1530,2100,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6305LLU/C3 - D G B BEARING,0132,code128,NTN,001,-,-,-,1530,2100,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6305ZZ - D G B BEARING,0133,code128,NTN,001,-,-,-,1250,1880,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6306ZZ - D G B BEARING,0134,code128,NTN,001,-,-,-,1820,2500,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6307ZZ - D G B BEARING,0135,code128,NTN,001,-,-,-,2395,3100,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6308LLU - D G B BEARING,0136,code128,NTN,001,-,-,-,3790,5350,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6308ZZ - D G B BEARING,0137,code128,NTN,001,-,-,-,3260,4275,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6309LLU - DGB BEARING,0138,code128,NTN,001,-,-,-,4646,7200,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6309ZZ - D G B BEARING,0139,code128,NTN,001,-,-,-,4150,6720,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6310ZZ - D G B BEARING,0140,code128,NTN,001,-,-,-,6150,9790,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6901LLU  D G B BEARING,0141,code128,NTN,001,-,-,-,810,1245,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6901ZZ - D G B BEARING,0142,code128,NTN,001,-,-,-,520,990,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6902CM - D G B BEARING,0143,code128,NTN,001,-,-,-,375,560,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6902LLU - D G B BEARING,0144,code128,NTN,001,-,-,-,375,1250,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6902ZZ - D G B BEARING,0145,code128,NTN,001,-,-,-,710,1090,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6904LLU - DGB BEARING,0146,code128,NTN,001,-,-,-,1190,1675,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6904ZZ - D G B BEARING,0147,code128,NTN,001,-,-,-,910,1335,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6905ZZ - DGB BEARING,0148,code128,NTN,001,-,-,-,1130,1595,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 6907ZZ - DGB BEARING,0149,code128,NTN,001,-,-,-,1450,2350,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN 807045/12 - BEARING,0150,code128,NTN,001,-,-,-,11800,17700,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NTN CS203LLU - D G B BEARING,0151,code128,NTN,001,-,-,-,1350,1650,20,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN HK10/15D - N R BEARING,0152,code128,NTN,001,-,-,-,875,1310,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN HK14/16 -N D BEARING,0153,code128,NTN,001,-,-,-,300,900,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN HK15/12D - N R BEARING,0154,code128,NTN,001,-,-,-,750,1120,20,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN HK15/16D - N R BEARING,0155,code128,NTN,001,-,-,-,600,1240,20,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN HK22/16D- N R BEARING,0156,code128,NTN,001,-,-,-,650,1730,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN MTR502025 - N R BEARING,0157,code128,NTN,001,-,-,-,25000,33800,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN NK14/16 - N R BEARING,0158,code128,NTN,001,-,-,-,1300,2200,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN NK25/16  - N R BEARING,0159,code128,NTN,001,-,-,-,1250,1875,0,No Tax,Exclusive,no_image.png,001-02,,,,,,,,
NTN SCO563 DGB BEARING,0160,code128,NTN,001,-,-,-,1750,2770,20,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
NTN TMB203JR2/42C3,0161,code128,NTN,001,-,-,-,1582.4,2250,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NTN UC204D1 - P B BEARING,0162,code128,NTN,001,-,-,-,2555,3650,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NTN UCF205 - P B BEARING,0163,code128,NTN,001,-,-,-,3650,5610,0,No Tax,Exclusive,no_image.png,,,,,,,,,
NTN UCFL205 - Y BEARING,0164,code128,NTN,001,-,-,-,3500,7230,0,No Tax,Exclusive,no_image.png,,,,,,,,,
SKF 6201ZZ - DGB BEARING,0165,code128,SKF,001,-,-,-,500,800,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
SKF 6213/2RSC3,0166,code128,SKF,001,-,-,-,17100,38000,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
SKF 63005/2RSH - BEARING,0167,code128,SKF,001,-,-,-,600,1245,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
SKF NU213ECPC3 - BEARING,0168,code128,SKF,001,-,-,-,37000,50000,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
UCF 206 - P B BEARING,0169,code128,NONE,001,-,-,-,3370,5055,0,No Tax,Exclusive,no_image.png,,,,,,,,,
URB 6005ZZ/C3  -D G B BEARINS,0170,code128,URB,001,-,-,-,270,415,0,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6201/2RS - D G B BEARING,0171,code128,URB,001,-,-,-,200,320,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6202/2RS - D G B BEARING,0172,code128,URB,001,-,-,-,230,355,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6204/2RS - DGB BEARING,0173,code128,URB,001,-,-,-,560,865,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6204CM - DGB BEARING,0174,code128,URB,001,-,-,-,340,525,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6300ZZ - D G B BEARING,0175,code128,URB,001,-,-,-,400,650,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6301CM - D G B BEARING,0176,code128,URB,001,-,-,-,420,650,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB 6302/2RS - DGB BEARING,0177,code128,URB,001,-,-,-,350,540,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB-6200/2RS - D G B BEARING,0178,code128,URB,001,-,-,-,220,500,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
URB-6301 2RS - D G B BEARING,0179,code128,URB,001,-,-,-,600,930,10,No Tax,Exclusive,no_image.png,001-01,,,,,,,,
450H(38MM) - TIMING BEALT,0180,code128,MITSUBOSHI,002,-,-,-,8416,11000,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI B 048 - V BELT,0181,code128,MITSUBOSHI,002,-,-,-,1110.2,1250,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI B 068 - V BELT,0182,code128,MITSUBOSHI,002,-,-,-,1128.4,1350,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI M 44 - BEALT,0183,code128,MITSUBOSHI,002,-,-,-,630,850,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI M 80 - V BEALT,0184,code128,MITSUBOSHI,002,-,-,-,2115,2820,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI A 066 - V BELT,0185,code128,MITSUBOSHI,002,-,-,-,981.5,1475,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI B 110 - V BELT,0186,code128,MITSUBOSHI,002,-,-,-,2696.85,4045,0,No Tax,Exclusive,no_image.png,,,,,,,,,
MITSUBOSHI M 080 - V BELT,0187,code128,MITSUBOSHI,002,-,-,-,2286.67,3040,0,No Tax,Exclusive,no_image.png,,,,,,,,,
22X28X04 - OIL SEAL,0188,code128,TSUBAKI,003,-,-,-,190,450,0,No Tax,Exclusive,no_image.png,,,,,,,,,
40X90X12 - OIL SEAL,0189,code128,NONE,003,-,-,-,1250,1900,0,No Tax,Exclusive,no_image.png,,,,,,,,,
45X53X6.5 - OIL SEAL,0190,code128,NONE,003,-,-,-,375,550,0,No Tax,Exclusive,no_image.png,,,,,,,,,
45X55X3 - OIL SEAL,0191,code128,NONE,003,-,-,-,200,320,0,No Tax,Exclusive,no_image.png,,,,,,,,,
45X60X8 - OIL SEAL,0192,code128,NONE,003,-,-,-,360,620,0,No Tax,Exclusive,no_image.png,,,,,,,,,
70MMX5MM - ORING,0193,code128,NONE,003,-,-,-,125,250,0,No Tax,Exclusive,no_image.png,,,,,,,,,
85X100X9 - OIL SEAL,0194,code128,NONE,003,-,-,-,1050,1550,0,No Tax,Exclusive,no_image.png,,,,,,,,,
